standard,title,credits,assessment_type,subject
90825,Analyse a religious tradition(s) in Aotearoa New Zealand,6,Internal,Religious Studies
90826,Analyse the response of a religious tradition to a contemporary ethical issue,6,Internal,Religious Studies
90827,Analyse the key beliefs of a religious tradition and a secular world view in relation to ultimate questions,6,Internal,Religious Studies
90828,Evaluate a personal action that contributes towards a sustainable future,6,Internal,Education for Sustainability
90831,Analyse the impact that policies have on a sustainable future,5,External,Education for Sustainability
90832,Develop a strategy for an organisation that will contribute to a sustainable future,5,Internal,Education for Sustainability
91379,Demonstrate understanding of how internal factors interact within a business that operates in a global context,4,External,Business Studies
91380,Demonstrate understanding of strategic response to external factors by a business that operates in a global context,4,External,Business Studies
91381,Apply business knowledge to address a complex problem(s) in a given global business context,4,External,Business Studies
91382,Develop a marketing plan for a new or existing product,6,Internal,Business Studies
91383,Analyse a human resource issue affecting businesses,3,Internal,Business Studies
91384,"Carry out, with consultation, an innovative and sustainable business activity",9,Internal,Business Studies
91385,"Investigate the exporting potential of a New Zealand business in a market, with consultation",3,Internal,Business Studies
91387,Carry out an investigation in chemistry involving quantitative analysis,4,Internal,Chemistry
91388,Demonstrate understanding of spectroscopic data in chemistry,3,Internal,Chemistry
91389,Demonstrate understanding of chemical processes in the world around us,3,Internal,Chemistry
91390,Demonstrate understanding of thermochemical principles and the properties of particles and substances,5,External,Chemistry
91391,Demonstrate understanding of the properties of organic compounds,5,External,Chemistry
91392,Demonstrate understanding of equilibrium principles in aqueous systems,5,External,Chemistry
91393,Demonstrate understanding of oxidation-reduction processes,3,Internal,Chemistry
91394,Analyse ideas and values of the classical world,4,External,Classical Studies
91395,Analyse the significance of a work(s) of art in the classical world,4,External,Classical Studies
91396,Analyse the impact of a significant historical figure on the classical world,6,External,Classical Studies
91397,Demonstrate understanding of significant ideology(ies) in the classical world,6,Internal,Classical Studies
91398,Demonstrate understanding of the lasting influences of the classical world on other cultures across time,6,Internal,Classical Studies
91399,Demonstrate understanding of the efficiency of market equilibrium,4,External,Economics
91400,Demonstrate understanding of the efficiency of different market structures using marginal analysis,4,External,Economics
91401,Demonstrate understanding of micro-economic concepts,5,Internal,Economics
91402,Demonstrate understanding of government interventions where the market fails to deliver efficient or equitable outcomes,5,Internal,Economics
91403,Demonstrate understanding of macro-economic influences on the New Zealand economy,6,External,Economics
91404,Demonstrate understanding of accounting concepts for a New Zealand reporting entity,4,External,Accounting
91405,Demonstrate understanding of accounting for partnerships,4,Internal,Accounting
91406,Demonstrate understanding of company financial statement preparation,5,External,Accounting
91407,Prepare a report for an external user that interprets the annual report of a New Zealand reporting entity,5,Internal,Accounting
91408,Demonstrate understanding of management accounting to inform decision-making,4,External,Accounting
91409,Demonstrate understanding of a job cost subsystem for an entity,4,Internal,Accounting
91410,Carry out an independent practical Earth and Space Science investigation,4,Internal,Earth and Space Science
91411,Investigate a socio-scientific issue in an Earth and Space Science context,4,Internal,Earth and Space Science
91412,Investigate the evidence related to dating geological event(s),4,Internal,Earth and Space Science
91413,Demonstrate understanding of processes in the ocean system,4,External,Earth and Space Science
91414,Demonstrate understanding of processes in the atmosphere system,4,External,Earth and Space Science
91415,Investigate an aspect of astronomy,4,Internal,Earth and Space Science
91416,Perform two programmes of music as a featured soloist,8,Internal,Music
91417,Perform a programme of music as a featured soloist on a second instrument,4,Internal,Music
91418,Demonstrate ensemble skills by performing two substantial pieces of music as a member of a group,4,Internal,Music
91419,Communicate musical intention by composing three original pieces of music,8,Internal,Music
91420,Integrate aural skills into written representation,4,External,Music
91421,Demonstrate understanding of harmonic and tonal conventions in a range of music scores,4,External,Music
91422,Analyse a substantial music work,4,Internal,Music
91423,Examine the influence of context on a substantial music work,4,External,Music
91424,Create two arrangements for an ensemble,4,Internal,Music
91425,Research a music topic,6,Internal,Music
