"List of all adjusted percentile weightings by result (Not achieved, Achieved, Merit and Excellence) for Unit and Achievement standards by Academic Year (2025)",,,,,,
Academic Year,Standard Number,Standard Version ,Adjusted Not Achieved Percentile,Adjusted  Achieved Percentile,Adjusted Merit Percentile,Adjusted Excellence Percentile
2025,18,7,0.02878520988123312,0.5287852098812331,1,1
2025,36,6,0,0.5,1,1
2025,36,7,0,0.5,1,1
2025,37,6,0.03413215137146097,0.534132151371461,1,1
2025,37,7,0.03358136926086391,0.533581369260864,1,1
2025,43,9,0,0.5,1,1
2025,43,10,0,0.5,1,1
2025,122,8,0.456835924301474,0.9500011269509872,0.9880122809531734,0.9948470783036601
2025,122,9,0.3901692576348073,0.8833344602843205,0.9880122809531733,0.99484707830366
2025,168,7,0.01773765050193177,0.5177376505019318,1,1
2025,168,8,0.0557075014197097,0.5557075014197097,1,1
2025,376,9,0.002641513277016838,0.5026415132770168,1,1
2025,376,10,0,0.5,1,1
2025,378,9,0.02762903713021037,0.5276290371302104,1,1
2025,378,10,0,0.5,1,1
2025,424,8,0.01209454227032175,0.5120945422703218,1,1
2025,424,9,0,0.5,1,1
2025,427,8,0.04865978462331927,0.5486597846233192,1,1
2025,428,9,0.04453704549856102,0.544537045498561,1,1
2025,571,5,0.113476019631544,0.613476019631544,1,1
2025,572,6,0.05022603544315668,0.5502260354431567,1,1
2025,572,7,0.002606987824109064,0.5026069878241091,1,1
2025,573,5,0,0.5,1,1
2025,573,6,0,0.5,1,1
2025,575,5,0.04545454545454547,0.5454545454545454,1,1
2025,581,5,0,0.5,1,1
2025,582,5,0,0.5,1,1
2025,898,5,0.2000823534687712,0.7000823534687712,1,1
2025,920,5,0.08132315846761895,0.581323158467619,1,1
2025,1174,9,0,0.5,1,1
2025,1204,8,0,0.5,1,1
2025,1221,7,0,0.5,1,1
2025,1221,8,0,0.5,1,1
2025,1234,9,0,0.5,1,1
2025,1234,10,0,0.5,1,1
2025,1252,8,0,0.5,1,1
2025,1279,7,0.109872946734569,0.6098729467345689,1,1
2025,1279,8,0.04924118306098024,0.5492411830609802,1,1
2025,1296,7,0.04201056513605267,0.5420105651360527,1,1
2025,1296,8,0.08421835734384486,0.5842183573438449,1,1
2025,1304,9,0.07935303377538572,0.5793530337753857,1,1
2025,1304,10,0.0556835659882709,0.5556835659882708,1,1
2025,1307,8,0.04751502421972326,0.5475150242197233,1,1
2025,1307,9,0.07561477032469954,0.5756147703246995,1,1
2025,1312,7,0.02394440634254624,0.5239444063425462,1,1
2025,1312,8,0.0430197754179153,0.5430197754179154,1,1
2025,1626,6,0,0.5,1,1
2025,1626,7,0,0.5,1,1
2025,1629,7,0,0.5,1,1
2025,1650,8,0,0.5,1,1
2025,1651,6,0,0.5,1,1
2025,1651,7,0,0.5,1,1
2025,1667,8,0.5,1,1,1
2025,1672,7,0,0.5,1,1
2025,1734,8,0.01939943208970624,0.5193994320897062,1,1
2025,1753,7,0,0.5,1,1
2025,1753,8,0,0.5,1,1
2025,1810,9,0,0.5,1,1
2025,1818,8,0,0.5,1,1
2025,1980,9,0.09012603169681593,0.590126031696816,1,1
2025,1980,10,0.0333667397909358,0.5333667397909359,1,1
2025,1980,11,0.0306158364222448,0.5306158364222449,1,1
2025,2201,6,0,0.5,1,1
2025,2401,9,0,0.5,1,1
2025,2436,8,0.09568379459415688,0.5956837945941569,1,1
2025,2571,11,0.1263580654327812,0.6263580654327812,1,1
2025,2595,11,0.03457705551166862,0.5345770555116687,1,1
2025,2597,11,0.0629617522066035,0.5629617522066035,1,1
2025,2626,6,0,0.5,1,1
2025,2672,7,0.01279124480128258,0.5127912448012826,1,1
2025,2672,8,0.01279124480128258,0.5127912448012826,1,1
2025,2672,9,0.1794579114679493,0.6794579114679493,1,1
2025,2680,8,0,0.5,1,1
2025,2834,5,0,0.5,1,1
2025,2866,6,0,0.5,1,1
2025,2866,7,0,0.5,1,1
2025,2870,7,0,0.5,1,1
2025,2873,8,0.02173913043478259,0.5217391304347826,1,1
2025,2884,7,0,0.5,1,1
2025,2886,5,0,0.5,1,1
2025,2886,6,0,0.5,1,1
2025,2990,7,0.09588872262008313,0.5958887226200831,1,1
2025,2990,8,0.07509664341216238,0.5750966434121624,1,1
2025,3272,5,0,0.5,1,1
2025,3285,5,0,0.5,1,1
2025,3286,5,0,0.5,1,1
2025,3287,5,0,0.5,1,1
2025,3288,5,0,0.5,1,1
2025,3312,5,0,0.5,1,1
2025,3466,8,0.001743819521731416,0.5017438195217314,1,1
2025,3491,7,0.1569678468293675,0.6569678468293675,1,1
2025,3491,8,0.09345387032843033,0.5934538703284303,1,1
2025,3494,6,0.01830807306213794,0.5183080730621379,1,1
2025,3494,7,0.001979244233309141,0.5019792442333091,1,1
2025,3727,10,0.07923285558660131,0.5792328555866013,1,1
2025,3727,11,0,0.5,1,1
2025,3789,9,0,0.5,1,1
2025,3800,6,0,0.5,1,1
2025,3856,10,0.003091340193970893,0.503091340193971,1,1
2025,3896,7,0,0.5,1,1
2025,4251,8,0.02281840906299032,0.5228184090629904,1,1
2025,4251,9,0.04584975119903367,0.5458497511990337,1,1
2025,4251,10,0,0.5,1,1
2025,4438,7,0.02081316939322486,0.5208131693932249,1,1
2025,4592,6,0,0.5,1,1
2025,4645,10,0.001603137339844463,0.5000670717972697,0.997643559527225,0.9991796250697998
2025,4864,1,0,0.5,1,1
2025,4864,7,0.008324692952376422,0.5083246929523764,1,1
2025,4864,8,0.1606623552900388,0.6606623552900388,1,1
2025,5148,9,0,0.5,1,1
