subject,academic_year,standard_number,standard_version,weight_excellence,effective_credits
Religious Studies,2018,90827,1,1.0,6
Religious Studies,2018,91725,2,0.839754098360656,6
Religious Studies,2018,90825,1,0.831653543307087,6
Religious Studies,2018,90827,2,0.821159029649596,6
Education for Sustainability,2018,90832,1,1.0,5
Education for Sustainability,2018,91735,1,1.0,4
Education for Sustainability,2018,90831,1,0.921052631578948,5
Education for Sustainability,2018,90832,2,0.888888888888889,5
Education for Sustainability,2018,90828,2,0.883620689655173,5
Business Studies,2018,91379,1,0.96849087893864,4
Business Studies,2018,91381,1,0.964636542239686,4
Business Studies,2018,91380,1,0.944801714898178,4
Business Studies,2018,91385,1,0.905927835051546,3
Business Studies,2018,91383,1,0.89595192915876,3
Business Studies,2018,91384,1,0.882352941176471,6
Chemistry,2018,91390,1,0.945474736257635,5
Chemistry,2018,91391,1,0.944329132690882,5
Chemistry,2018,91392,1,0.922287668630059,5
Chemistry,2018,91389,2,0.840261739799846,3
Chemistry,2018,91387,1,0.805337812616648,4
Chemistry,2018,91393,1,0.803571428571429,2
Classical Studies,2018,91396,1,0.946363636363636,6
Classical Studies,2018,91394,1,0.938671209540034,4
Classical Studies,2018,91395,1,0.926414058209775,4
Classical Studies,2018,91397,1,0.844798455225682,6
Classical Studies,2018,91398,2,0.844444444444445,4
Economics,2018,91403,1,0.964759246336357,6
Economics,2018,91401,1,0.961538461538462,5
Economics,2018,91400,1,0.934889434889435,4
Economics,2018,91399,1,0.928747361013371,4
Economics,2018,91402,1,0.928571428571429,5
Accounting,2018,91407,1,1.0,5
Accounting,2018,91404,1,0.96309963099631,4
Accounting,2018,91408,1,0.961008083689967,4
Accounting,2018,91406,1,0.934860202260559,5
Accounting,2018,91409,1,0.888888888888889,4
Accounting,2018,91407,2,0.849337748344371,2
Earth and Space Science,2018,91411,1,1.0,4
Earth and Space Science,2018,91412,1,1.0,4
Earth and Space Science,2018,91413,1,0.989060489060489,4
Earth and Space Science,2018,91414,1,0.978090766823161,4
Earth and Space Science,2018,91410,1,0.928681572860447,4
Earth and Space Science,2018,91415,2,0.907839477368175,4
Music Studies,2018,91417,1,1.0,4
Music Studies,2018,91425,1,1.0,6
Music Studies,2018,91418,1,0.961538461538462,4
Music Studies,2018,91420,1,0.935897435897436,4
Music Studies,2018,91421,1,0.926991150442478,4
Music Studies,2018,91423,1,0.924632352941176,2
Geography,2018,91428,1,1.0,3
Geography,2018,91429,1,0.959277169763299,4
Geography,2018,91427,1,0.947241762310256,4
Geography,2018,91426,1,0.94153922052294,4
Geography,2018,91430,2,0.889271801018879,5
Geography,2018,91432,2,0.883280278914658,3
Geography,2018,91428,2,0.882788051209104,1
History,2018,91435,1,0.9609375,5
History,2018,91436,1,0.952444922084901,4
History,2018,91438,1,0.951771399017326,6
History,2018,91439,1,0.923888888888889,6
History,2018,91434,1,0.907692307692308,3
Design (Practical Art),2018,91445,1,1.0,4
Design (Practical Art),2018,91450,1,1.0,4
Design (Practical Art),2018,91455,1,0.919377004122767,14
Design (Practical Art),2018,91450,2,0.859018510546707,2
Painting (Practical Art),2018,91456,1,0.924848484848485,14
Painting (Practical Art),2018,91451,1,0.916666666666667,4
Painting (Practical Art),2018,91451,2,0.84723422644771,4
Painting (Practical Art),2018,91446,2,0.841640502354788,2
Photography (Practical Art),2018,91442,1,1.0,4
Photography (Practical Art),2018,91457,1,0.932567049808429,14
Photography (Practical Art),2018,91452,1,0.907407407407408,4
Photography (Practical Art),2018,91452,2,0.880281690140845,2
Printmaking (Practical Art),2018,91448,2,0.871929824561404,4
Printmaking (Practical Art),2018,91453,2,0.847222222222222,4
Printmaking (Practical Art),2018,91443,1,0.828571428571429,4
Printmaking (Practical Art),2018,91458,1,0.822265625,12
Sculpture (Practical Art),2018,91460,1,0.892857142857143,4
Sculpture (Practical Art),2018,91444,1,0.877358490566038,4
Sculpture (Practical Art),2018,91459,1,0.875,14
Sculpture (Practical Art),2018,91449,1,0.861111111111111,2
Health Education,2018,91815,1,1.0,5
Health Education,2018,91811,1,1.0,3
Health Education,2018,91465,1,0.983333333333333,5
Health Education,2018,91462,1,0.968023255813953,5
Health Education,2018,91463,1,0.958333333333333,5
Health Education,2018,91464,1,0.944444444444444,1
Home Economics,2018,91466,1,1.0,5
Home Economics,2018,91467,1,1.0,5
Home Economics,2018,91469,1,1.0,5
Home Economics,2018,91471,1,0.930293501048218,4
Home Economics,2018,91467,2,0.919786096256685,5
English,2018,91474,1,0.950400251137969,4
English,2018,91473,1,0.939722572509458,4
English,2018,91472,1,0.936465981399902,4
English,2018,91477,1,0.902799788695193,3
English,2018,91480,1,0.891290616885396,3
English,2018,91478,1,0.890407554671968,4
English,2018,91475,1,0.888518356915789,2
History of Art,2018,91484,1,0.941634241245136,4
History of Art,2018,91483,1,0.93021472392638,4
History of Art,2018,91482,1,0.92814371257485,4
History of Art,2018,91489,1,0.865102639296188,4
History of Art,2018,91486,1,0.850220264317181,4
History of Art,2018,91485,2,0.847236180904523,4
Media Studies,2018,91491,1,1.0,3
Media Studies,2018,91497,1,0.954545454545455,3
Media Studies,2018,91490,1,0.949919224555735,4
Media Studies,2018,91493,1,0.94987146529563,4
Media Studies,2018,91492,1,0.932432432432433,3
Media Studies,2018,91492,2,0.891602399314482,3
Media Studies,2018,91496,1,0.888888888888889,3
Media Studies,2018,91497,2,0.886724386724387,1
Physical Education,2018,91789,1,1.0,4
Physical Education,2018,91812,1,1.0,5
Physical Education,2018,91505,2,0.919277108433735,4
Physical Education,2018,91789,2,0.918458484948727,4
Physical Education,2018,91498,1,0.91,4
Physical Education,2018,91502,1,0.90625,3
Latin,2018,91506,1,0.842857142857143,6
Latin,2018,91507,1,0.833333333333333,5
Latin,2018,91510,1,0.681818181818182,3
Latin,2018,91509,1,0.633333333333333,4
Latin,2018,91508,1,0.592592592592593,6
Drama,2018,91513,1,1.0,5
Drama,2018,91515,1,1.0,4
Drama,2018,91512,1,0.96,4
Drama,2018,91514,1,0.951408450704225,4
Drama,2018,91518,1,0.947482014388489,4
Drama,2018,91519,1,0.85207100591716,3
Physics,2018,91523,1,0.961270841538664,4
Physics,2018,91526,1,0.934085510688836,6
Physics,2018,91524,1,0.931607074691437,6
Physics,2018,91527,1,0.86590524534687,3
Physics,2018,91521,1,0.858695652173913,4
Physics,2018,91522,2,0.846219931271478,1
Agriculture & Horticulture,2018,91528,1,1.0,4
Agriculture & Horticulture,2018,91529,1,1.0,6
Agriculture & Horticulture,2018,91530,1,0.945945945945946,5
Agriculture & Horticulture,2018,91532,1,0.94408945686901,5
Agriculture & Horticulture,2018,91531,1,0.932748538011696,4
Chinese,2018,91536,1,0.864825581395349,5
Chinese,2018,91533,1,0.86003861003861,5
Chinese,2018,91534,1,0.599865047233468,3
Chinese,2018,91535,1,0.561965811965812,6
Chinese,2018,91537,1,0.559643255295429,5
Cook Islands Maori,2018,91541,1,0.741071428571429,5
Cook Islands Maori,2018,91538,1,0.723214285714286,5
Cook Islands Maori,2018,91539,1,0.65625,3
Cook Islands Maori,2018,91540,1,0.650943396226415,6
Cook Islands Maori,2018,91542,1,0.620689655172414,5
French,2018,91543,1,0.915057915057915,5
French,2018,91546,1,0.911764705882353,5
French,2018,91545,1,0.738307349665924,6
French,2018,91544,1,0.719211822660099,3
French,2018,91547,1,0.704188481675393,5
German,2018,91548,1,0.902777777777778,5
German,2018,91551,1,0.882352941176471,5
German,2018,91552,1,0.694915254237288,5
German,2018,91550,1,0.673684210526316,6
German,2018,91549,1,0.645,3
Japanese,2018,91553,1,0.888790035587189,5
