subject,academic_year,standard_number,standard_version,weight_excellence_raw,weight_excellence_sanitized,penalized_one,effective_credits
Religious Studies,2018,91725,2,0.839754098360656,0.839754098360656,False,6
Religious Studies,2018,90825,1,0.831653543307087,0.831653543307087,False,6
Religious Studies,2018,90827,2,0.821159029649596,0.821159029649596,False,6
Religious Studies,2018,90826,2,0.820017368649588,0.820017368649588,False,6
Education for Sustainability,2018,90831,1,0.921052631578948,0.921052631578948,False,5
Education for Sustainability,2018,90832,2,0.888888888888889,0.888888888888889,False,5
Education for Sustainability,2018,90828,2,0.883620689655173,0.883620689655173,False,6
Education for Sustainability,2018,91736,1,0.875,0.875,False,4
Education for Sustainability,2018,91735,2,0.873684210526316,0.873684210526316,False,4
Business Studies,2018,91379,1,0.96849087893864,0.96849087893864,False,4
Business Studies,2018,91381,1,0.964636542239686,0.964636542239686,False,4
Business Studies,2018,91380,1,0.944801714898178,0.944801714898178,False,4
Business Studies,2018,91385,1,0.905927835051546,0.905927835051546,False,3
Business Studies,2018,91383,1,0.89595192915876,0.89595192915876,False,3
Business Studies,2018,91384,1,0.882352941176471,0.882352941176471,False,6
Chemistry,2018,91390,1,0.945474736257635,0.945474736257635,False,5
Chemistry,2018,91391,1,0.944329132690882,0.944329132690882,False,5
Chemistry,2018,91392,1,0.922287668630059,0.922287668630059,False,5
Chemistry,2018,91389,2,0.840261739799846,0.840261739799846,False,3
Chemistry,2018,91387,1,0.805337812616648,0.805337812616648,False,4
Chemistry,2018,91393,1,0.803571428571429,0.803571428571429,False,2
Classical Studies,2018,91396,1,0.946363636363636,0.946363636363636,False,6
Classical Studies,2018,91394,1,0.938671209540034,0.938671209540034,False,4
Classical Studies,2018,91395,1,0.926414058209775,0.926414058209775,False,4
Classical Studies,2018,91397,1,0.844798455225682,0.844798455225682,False,6
Classical Studies,2018,91398,2,0.844444444444445,0.844444444444445,False,4
Economics,2018,91403,1,0.964759246336357,0.964759246336357,False,6
Economics,2018,91401,1,0.961538461538462,0.961538461538462,False,5
Economics,2018,91400,1,0.934889434889435,0.934889434889435,False,4
Economics,2018,91399,1,0.928747361013371,0.928747361013371,False,4
Economics,2018,91402,1,0.928571428571429,0.928571428571429,False,5
Accounting,2018,91404,1,0.96309963099631,0.96309963099631,False,4
Accounting,2018,91408,1,0.961008083689967,0.961008083689967,False,4
Accounting,2018,91406,1,0.934860202260559,0.934860202260559,False,5
Accounting,2018,91409,1,0.888888888888889,0.888888888888889,False,4
Accounting,2018,91407,2,0.849337748344371,0.849337748344371,False,5
Accounting,2018,91405,1,0.833333333333333,0.833333333333333,False,2
Earth and Space Science,2018,91413,1,0.989060489060489,0.989060489060489,False,4
Earth and Space Science,2018,91414,1,0.978090766823161,0.978090766823161,False,4
Earth and Space Science,2018,91410,1,0.928681572860447,0.928681572860447,False,4
Earth and Space Science,2018,91415,2,0.907839477368175,0.907839477368175,False,4
Earth and Space Science,2018,91412,2,0.906486941870261,0.906486941870261,False,4
Earth and Space Science,2018,91411,2,0.896828844483058,0.896828844483058,False,4
Music Studies,2018,91418,1,0.961538461538462,0.961538461538462,False,4
Music Studies,2018,91420,1,0.935897435897436,0.935897435897436,False,4
Music Studies,2018,91421,1,0.926991150442478,0.926991150442478,False,4
Music Studies,2018,91423,1,0.924632352941176,0.924632352941176,False,4
Music Studies,2018,91416,1,0.84375,0.84375,False,8
Geography,2018,91429,1,0.959277169763299,0.959277169763299,False,4
Geography,2018,91427,1,0.947241762310256,0.947241762310256,False,4
Geography,2018,91426,1,0.94153922052294,0.94153922052294,False,4
Geography,2018,91430,2,0.889271801018879,0.889271801018879,False,5
Geography,2018,91432,2,0.883280278914658,0.883280278914658,False,3
Geography,2018,91428,2,0.882788051209104,0.882788051209104,False,3
History,2018,91435,1,0.9609375,0.9609375,False,5
History,2018,91436,1,0.952444922084901,0.952444922084901,False,4
History,2018,91438,1,0.951771399017326,0.951771399017326,False,6
History,2018,91439,1,0.923888888888889,0.923888888888889,False,6
History,2018,91434,1,0.907692307692308,0.907692307692308,False,3
Design (Practical Art),2018,91455,1,0.919377004122767,0.919377004122767,False,14
Design (Practical Art),2018,91450,2,0.859018510546707,0.859018510546707,False,4
Design (Practical Art),2018,91440,2,0.850404312668464,0.850404312668464,False,4
Design (Practical Art),2018,91445,2,0.84948024948025,0.84948024948025,False,2
Painting (Practical Art),2018,91456,1,0.924848484848485,0.924848484848485,False,14
Painting (Practical Art),2018,91451,1,0.916666666666667,0.916666666666667,False,4
Painting (Practical Art),2018,91451,2,0.84723422644771,0.84723422644771,False,4
Painting (Practical Art),2018,91446,2,0.841640502354788,0.841640502354788,False,2
Photography (Practical Art),2018,91457,1,0.932567049808429,0.932567049808429,False,14
Photography (Practical Art),2018,91452,1,0.907407407407408,0.907407407407408,False,4
Photography (Practical Art),2018,91452,2,0.880281690140845,0.880281690140845,False,4
Photography (Practical Art),2018,91442,2,0.879909365558912,0.879909365558912,False,2
Printmaking (Practical Art),2018,91448,2,0.871929824561404,0.871929824561404,False,4
