subject,years_available,first_year,last_year,score_change,avg_weight_change,trend_direction,latest_score,latest_rank
History,7,2018,2024,0.03688311481064532,0.008738067967363317,Improving,0.978195858096221,1.0
Technology/Hangarau,7,2018,2024,0.037296033390709304,-0.05045518493966317,Improving,0.9749251520187115,2.0
Health Education,7,2018,2024,0.014348312325541124,-0.009057494699249213,Improving,0.9730168778255015,3.0
Statistics,7,2018,2024,0.01647132867277934,0.013525386649189564,Improving,0.9711010382252451,4.0
Business Studies,7,2018,2024,0.04459962839778786,0.00955810269343016,Improving,0.9700776902309446,5.0
Te Reo Māori,7,2018,2024,0.0672218339064049,0.03419965642972189,Improving,0.9651572975129424,6.0
Physics,7,2018,2024,0.04267605765897342,0.059733066921893174,Improving,0.9559242724274748,7.0
Sculpture (Practical Art),7,2018,2024,0.07657697678851605,0.05031322525897164,Improving,0.9537888416183055,8.0
Design (Practical Art),7,2018,2024,0.055010737887390526,0.04058175898491678,Improving,0.9470078149515538,9.0
Calculus,7,2018,2024,0.006178755496364263,0.006164925661700127,Stable,0.933560912436607,10.0
Photography (Practical Art),7,2018,2024,0.015046733426647974,0.005631523898892765,Improving,0.9303181425361832,11.0
English,7,2018,2024,0.08588388116784684,0.0024350276923043035,Improving,0.9296445751519699,12.0
Physical Education,7,2018,2024,0.05656476587607062,-0.0411850590253483,Improving,0.9280543034322758,13.0
Earth and Space Science,7,2018,2024,-0.0065855035556201535,-0.027678720663085743,Stable,0.9279125118553117,14.0
Design and Visual Communication,7,2018,2024,0.00045048177543749457,-0.03258591962594093,Stable,0.9236838091421049,15.0
Agriculture & Horticulture,7,2018,2024,0.0066622513450177445,-0.019080622096292466,Stable,0.9191364816445621,16.0
Social Studies,7,2018,2024,0.037805042023214,-0.00932560543553862,Improving,0.9180095293508068,17.0
Drama,7,2018,2024,0.009681787299671951,-0.04051236414363213,Stable,0.9072511420350436,18.0
Home Economics,7,2018,2024,-0.007485149474913633,-0.024816958251789756,Stable,0.9071714563444578,19.0
Geography,7,2018,2024,0.02601126926144226,-0.00038909156537059175,Improving,0.9067111278385948,20.0
Classical Studies,7,2018,2024,0.0059582708760049785,0.07661577343903125,Stable,0.9053370791390436,21.0
Digital Technologies,3,2018,2020,-0.012539920970294993,-0.022767995183729073,Declining,0.9039829623679609,
Accounting,7,2018,2024,-0.010664127355309527,-0.05684122706242023,Declining,0.8993209907276897,22.0
Te Reo Rangatira,7,2018,2024,0.07108481181752946,-0.005411960387038617,Improving,0.8950051499040764,23.0
History of Art,7,2018,2024,-0.011204895713530116,-0.016749583608420937,Declining,0.8825537313305128,24.0
Painting (Practical Art),7,2018,2024,-0.02587149948215406,-0.05286241532179681,Declining,0.8777436407280906,25.0
Economics,7,2018,2024,-0.06853731552929854,-0.0018974906008800696,Declining,0.8770315224781523,26.0
Education for Sustainability,7,2018,2024,-0.013924861250059317,-0.005172159609426408,Declining,0.8754988296822527,27.0
Chemistry,7,2018,2024,-0.019820005197241253,0.04958523162339601,Declining,0.8722523704236699,28.0
Media Studies,7,2018,2024,0.09683843478337961,0.006172548850803095,Improving,0.8719038633229311,29.0
Religious Studies,7,2018,2024,0.04154493833632189,0.028170773667601234,Improving,0.8696909483280536,30.0
Construction and Mechanical Technologies,7,2018,2024,-0.0311534305157809,0.007859089134019892,Declining,0.8668555612064709,31.0
Te Ao Haka,5,2020,2024,0.7503145144501127,0.32562199948335646,Improving,0.8544811811167793,32.0
Samoan,7,2018,2024,-0.031144632974515973,-0.031144632974515973,Declining,0.8475615530626394,33.0
Dance,7,2018,2024,-0.028952329347981753,-0.04519369383260463,Declining,0.8399236266100685,34.0
Digital Technologies and Hangarau Matihiko,7,2018,2024,0.24452813562980769,0.023332747049484404,Improving,0.8327225800742521,35.0
Tikanga ā-Iwi,7,2018,2024,0.14811864126339802,-0.027149559658927735,Improving,0.8274691314594764,36.0
Tongan,7,2018,2024,0.018372367172443838,0.01837236717244406,Improving,0.8238154384409576,37.0
Printmaking (Practical Art),7,2018,2024,-0.012645582484974272,0.0648691801907677,Declining,0.8231078092408682,38.0
Biology,7,2018,2024,-0.05900449599090285,0.03611810129972326,Declining,0.8219734777468447,39.0
Music Studies,7,2018,2024,-0.08663434518858182,-0.047380288018648464,Declining,0.8194588882813435,40.0
Spanish,7,2018,2024,-0.021438123703438672,-0.021438123703438672,Declining,0.7992287558740957,41.0
Japanese,7,2018,2024,0.001965580553162205,0.001965580553162205,Stable,0.7952549984491878,42.0
French,7,2018,2024,-0.019245840814210324,-0.019245840814210324,Declining,0.7825264541463791,43.0
Cook Islands Maori,7,2018,2024,0.10329351816434595,0.20746018483101247,Improving,0.7824304858580599,44.0
Psychology,7,2018,2024,0.013267156008508363,0.014473261100191204,Improving,0.7805865569010382,45.0
New Zealand Sign Language,7,2018,2024,0.21329965874645318,0.2559595904957439,Improving,0.7341329920797866,46.0
German,7,2018,2024,-0.0347549849776968,-0.0347549849776968,Declining,0.7309673120687856,47.0
Processing Technologies,7,2018,2024,0.3589004491160259,0.014700751565560055,Improving,0.7055502719274185,48.0
Chinese,7,2018,2024,-0.01071705974902526,-0.01071705974902526,Declining,0.6806965755485672,49.0
Korean,7,2018,2024,-0.005529861700606875,-0.005529861700606653,Stable,0.647532279103991,50.0
