subject,years_available,first_year,last_year,score_change,avg_weight_change,trend_direction,latest_score,latest_rank
Hauora,6,2019,2024,0.0505050505050505,0.0505050505050505,Improving,1.0,2.0
Ngā Mahi a te Rēhia,7,2018,2024,0.10227272727272696,0.10227272727272696,Improving,1.0,1.0
Statistics,7,2018,2024,0.040021780704635246,0.013525386649189564,Improving,0.994651490257101,3.0
Health Education,7,2018,2024,0.0017323992252100684,-0.009124156073395784,Stable,0.9806029849271908,4.0
History,7,2018,2024,0.03688311481064532,0.008262329552949255,Improving,0.978195858096221,5.0
Technology/Hangarau,7,2018,2024,0.009607691639867522,-0.050829223648935495,Stable,0.9749251520187115,6.0
Physics,7,2018,2024,0.06091851006104698,0.06575559923134178,Improving,0.9741667248295484,7.0
Business Studies,7,2018,2024,0.04459962839778786,0.010807421107434045,Improving,0.9700776902309446,8.0
Sculpture (Practical Art),7,2018,2024,0.092603481859451,0.055876099671687385,Improving,0.9698153466892404,9.0
Te Reo Māori,7,2018,2024,0.06749910346429322,0.016032594289378754,Improving,0.9654345670708308,10.0
Biology,7,2018,2024,0.04590068699876404,0.034276797116906454,Improving,0.9651820508990224,11.0
Design and Visual Communication,7,2018,2024,-0.04066210502286893,-0.02901910930841034,Declining,0.9496684394840575,12.0
Digital Technologies,3,2018,2020,-0.011809836845595001,-0.02092214661646108,Declining,0.9494303422331489,
Design (Practical Art),7,2018,2024,0.005786353334380712,0.04743859789735405,Stable,0.9470078149515538,13.0
Chemistry,7,2018,2024,0.05472045633467981,0.048641779104689475,Improving,0.9467928319555909,14.0
Geography,7,2018,2024,0.012185631837159594,0.004568461498424048,Improving,0.9464653036730009,15.0
Calculus,7,2018,2024,0.01819937765360191,0.003707211173910596,Improving,0.9455815345938446,16.0
Economics,7,2018,2024,-0.011755904997525546,-0.00026920861369228444,Declining,0.9338129330099253,17.0
Photography (Practical Art),7,2018,2024,-0.004480096102308595,0.0056372426639507145,Stable,0.9307753916989133,18.0
English,7,2018,2024,0.009178363532926559,0.0013692178238728925,Stable,0.9296445751519699,19.0
Earth and Space Science,7,2018,2024,-0.037711192982033404,-0.027678720663085743,Declining,0.9295675247033452,20.0
Physical Education,7,2018,2024,-0.018182878798134516,-0.04221004040746723,Declining,0.9280543034322758,21.0
Agriculture & Horticulture,7,2018,2024,-0.046745650277169704,-0.018885372490343832,Declining,0.9191364816445621,22.0
Social Studies,7,2018,2024,0.013711207334867193,-0.012279104612469394,Improving,0.9180095293508068,23.0
Media Studies,7,2018,2024,-0.036240911304656453,-0.0030910655479194915,Declining,0.910504269609472,24.0
Drama,7,2018,2024,-0.050739477886720286,-0.03302837795999958,Declining,0.9072511420350436,25.0
Home Economics,7,2018,2024,-0.06449956388372113,-0.020620059822604286,Declining,0.9071714563444578,26.0
Classical Studies,7,2018,2024,0.0059582708760049785,0.07416067856582065,Stable,0.9053370791390436,27.0
Accounting,7,2018,2024,-0.04338579770115225,-0.058933340494251696,Declining,0.8993209907276897,28.0
Music Studies,7,2018,2024,-0.06539524127978091,-0.06501051570929639,Declining,0.8990619627783797,29.0
Te Reo Rangatira,7,2018,2024,-0.0038170370994293767,-0.005831150057151624,Stable,0.8950051499040764,30.0
Cook Islands Maori,7,2018,2024,0.2074601848310127,0.19999072462628553,Improving,0.8865971525247266,31.0
History of Art,7,2018,2024,-0.011204895713530116,-0.016749583608420937,Declining,0.8825537313305128,32.0
New Zealand Sign Language,7,2018,2024,0.2559595904957439,0.2551712389069525,Improving,0.8809595904957439,33.0
Painting (Practical Art),7,2018,2024,-0.02587149948215406,-0.07121637937362568,Declining,0.8777436407280906,34.0
Education for Sustainability,7,2018,2024,-0.06065996409337426,-0.014006947435672101,Declining,0.8754988296822527,35.0
Religious Studies,7,2018,2024,-0.0034507195012811742,0.028170773667601456,Stable,0.8696909483280536,36.0
Construction and Mechanical Technologies,7,2018,2024,-0.056188782976863805,0.005977808807604568,Declining,0.8668555612064709,37.0
Te Ao Haka,5,2020,2024,0.3544811811167793,0.32562199948335646,Improving,0.8544811811167793,38.0
Psychology,7,2018,2024,0.014473261100190982,0.017810826414495495,Improving,0.8515489711647689,39.0
Samoan,7,2018,2024,-0.031144632974515973,-0.029711340815267162,Declining,0.8475615530626394,40.0
Processing Technologies,7,2018,2024,0.014700751565560055,0.030964430856924796,Improving,0.8466603263129022,41.0
Dance,7,2018,2024,-0.11936660325241766,-0.03254699992523025,Declining,0.8411897367934239,42.0
Digital Technologies and Hangarau Matihiko,7,2018,2024,0.04846332081499283,0.03363649097572219,Improving,0.8327225800742521,43.0
Tikanga ā-Iwi,7,2018,2024,0.06478530793006465,-0.027149559658927735,Improving,0.8274691314594764,44.0
Tongan,7,2018,2024,0.018372367172443838,0.017254938277121656,Improving,0.8238154384409576,45.0
Printmaking (Practical Art),7,2018,2024,-0.012645582484974272,0.10959260974563789,Declining,0.8231078092408682,46.0
Spanish,7,2018,2024,-0.021438123703438672,-0.024841791133465296,Declining,0.7992287558740957,47.0
Japanese,7,2018,2024,0.001965580553162205,0.0005727925110572407,Stable,0.7952549984491878,48.0
French,7,2018,2024,-0.019245840814210324,-0.01898810783501259,Declining,0.7825264541463791,49.0
Ngā Toi Puoro,7,2018,2024,0.027521585848987118,0.027521585848987118,Improving,0.7418073001347011,50.0
Science/Pūtaiao,6,2018,2024,-0.26594424125193195,-0.26594424125193195,Declining,0.734055758748068,51.0
German,7,2018,2024,-0.0347549849776968,-0.030902410810981662,Declining,0.7309673120687856,52.0
Chinese,7,2018,2024,-0.01071705974902526,-0.011871335461683175,Declining,0.6806965755485672,53.0
Korean,7,2018,2024,-0.005529861700606875,0.0061742427946205325,Stable,0.647532279103991,54.0
Latin,7,2018,2024,-0.10827121067043732,-0.07850364852550318,Declining,0.6149851625859358,55.0
